id,redshift,restframefilter
38624,3.045,f200w
19741,3.058,f200w
37475,3.066,f200w
30110,3.089,f200w
23420,3.11,f200w
23533,3.131,f200w
23120,3.153,f200w
29362,3.185,f277w
30859,3.225,f277w
35511,3.262,f277w
29700,3.328,f277w
31085,3.362,f277w
30273,3.395,f277w
30258,3.475,f277w
23820,3.5,f277w
28204,3.583,f277w
21839,3.611,f277w
15645,3.622,f277w
21566,3.685,f277w
21980,3.7,f277w
19750,3.829,f277w
21420,4.151,f277w
24433,4.225,f277w
39147,4.245,f277w
36403,4.273,f277w
40467,4.35,f277w
12608,4.403,f277w
29179,4.515,f277w
20759,4.764,f356w
14832,5.084,f356w
