id,redshift,restframefilter
17490,1.001,f115w
23344,1.003,f115w
21624,1.022,f115w
29097,1.03,f115w
29185,1.04,f115w
24293,1.049,f115w
21909,1.0605,f115w
24487,1.068,f115w
25122,1.075,f115w
21265,1.08,f115w
29351,1.1025,f115w
22362,1.125,f115w
21276,1.135,f115w
23850,1.135,f115w
31351,1.135,f115w
28132,1.136,f115w
27030,1.142,f115w
11677,1.16,f115w
29737,1.1771,f115w
26342,1.1776,f115w
31743,1.179,f115w
12823,1.185,f115w
26748,1.204,f115w
30817,1.21,f115w
24586,1.216,f115w
27361,1.216,f115w
30405,1.219,f115w
29609,1.227,f115w
21346,1.2593,f115w
20589,1.277,f115w
27940,1.299,f115w
30413,1.3,f115w
29083,1.315,f115w
29151,1.336,f115w
21911,1.345,f115w
15840,1.365,f150w
22273,1.379,f150w
25636,1.386,f150w
10983,1.398,f150w
20762,1.41,f150w
13670,1.416,f150w
21320,1.425,f150w
20988,1.428,f150w
25705,1.433,f150w
17249,1.445,f150w
20396,1.452,f150w
14053,1.469,f150w
11887,1.493,f150w
11349,1.499,f150w
25755,1.502,f150w
14161,1.507,f150w
21505,1.51,f150w
23128,1.52,f150w
26056,1.5302,f150w
11097,1.531,f150w
23259,1.533,f150w
15327,1.543,f150w
22339,1.543,f150w
20982,1.556,f150w
12809,1.564,f150w
25175,1.566,f150w
28397,1.5807,f150w
21314,1.617,f150w
14377,1.627,f150w
14400,1.628,f150w
29608,1.628,f150w
23048,1.635,f150w
21342,1.639,f150w
27909,1.651,f150w
21295,1.655,f150w
25604,1.664,f150w
30147,1.681,f150w
14090,1.699,f150w
31457,1.708,f150w
22532,1.712,f150w
11386,1.738,f150w
31146,1.752,f150w
30996,1.757,f150w
21190,1.769,f150w
23091,1.769,f150w
25904,1.782,f150w
26418,1.782,f150w
22197,1.784,f150w
22188,1.786,f150w
23563,1.802,f150w
22858,1.824,f150w
30763,1.842,f150w
23888,1.856,f150w
25283,1.862,f150w
15371,1.87,f150w
22525,1.886,f150w
23152,1.894,f150w
11922,1.899,f150w
16443,1.9,f150w
26441,1.913,f150w
22311,1.933,f150w
12140,1.953,f150w
24155,1.961,f150w
30780,1.974,f150w
26210,1.994,f150w
